"cost_code","cost_code_description","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04","2026-05","2026-06"
"15-02-805","TROPICAL WORLD NURSERY-CONSTR.IRRIGATION & LANDSCAPING.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","92749.50","0.00","24870.00","14400.00","0.00","0.00","0.00","2660.00","0.00","2660.68","296815.00","0.00","0.00","61250.00","0.00","0.00","0.00"
"15-02-808","TROPICAL WORLD NURSERY-CONSTR.BRICK PAVERS / TURF.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","31500.01","30614.57","0.00","0.00","0.00"
"15-03-010","TROPICAL WORLD NURSERY-CONSTR.CONCRETE WORK.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","797868.90","1963650.00","2974158.42","2553800.00","923940.00","867435.95","0.00","0.00","3100.00","0.00","0.00","103617.72","0.00","0.00","0.00"
"15-04-400","TROPICAL WORLD NURSERY-CONSTR.STONE VENEER.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","49333.58","0.00","94601.42","0.00","0.00"
"15-05-522","TROPICAL WORLD NURSERY-CONSTR.PERGOLA/TRELLIS.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","56904.00","0.00","0.00","0.00","0.00","27300.00","0.00","0.00","0.00","5745.00","0.00","7365.00","0.00","0.00","0.00","40350.00","19825.00","0.00","0.00"
"15-05-910","TROPICAL WORLD NURSERY-CONSTR.MISCELLANEOUS METALS.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","177096.00","0.00","0.00","0.00","0.00","27300.00","10916.00","0.00","19261.00","40562.00","0.00","29135.00","24027.00","0.00","24027.00","38437.00","21454.00","0.00","0.00"
"15-06-100","TROPICAL WORLD NURSERY-CONSTR.ROUGH CARPENTRY.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5022.25","2012.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15-06-190","TROPICAL WORLD NURSERY-CONSTR.WOOD TRUSSES.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","47874.79","47559.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15-06-200","TROPICAL WORLD NURSERY-CONSTR.FINISH CARPENTRY.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15-06-220","TROPICAL WORLD NURSERY-CONSTR.MILLWORK.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","156550.00","0.00","103200.00","83500.00","0.00","343250.00","123000.00","43800.00","-43800.00","0.00"
