activity_id,activity_name,prior_finish,current_finish,prior_source_float,current_source_float,source_float_delta
P2-01C-FIN-120,"OWNER WALK CORRIDOR","2026-07-17 16:00","2026-08-04 16:00",-256.0,-352.0,-96.0
P2-01C-FIN-130,"OWNER PUNCH CORRIDOR","2026-07-21 16:00","2026-08-06 16:00",-256.0,-352.0,-96.0
P2-01C-FIN-140,"OWNER ACCEPTANCE / TURNOVER CORRIDOR","2026-07-22 16:00","2026-08-07 16:00",-256.0,-352.0,-96.0
P2-01C-FIN-150,"OWNER INSTALL SIGNAGE AT CORRIDOR","2026-07-15 16:00","2026-07-31 16:00",-400.0,-496.0,-96.0
P2-01C-FIN-90,"INSTALL FLOORING & BASE AT CORRIDOR","2026-07-14 16:00","2026-07-30 16:00",-400.0,-496.0,-96.0
P2-01U-FIN-240,"GC PUNCH UNITS","2026-07-24 16:00","2026-08-11 16:00",-400.0,-496.0,-96.0
P2-01U-FIN-250,"OWNER WALK UNITS","2026-07-29 16:00","2026-08-14 16:00",-400.0,-496.0,-96.0
P2-01U-FIN-260,"OWNER PUNCH UNITS","2026-08-12 16:00","2026-08-28 16:00",-400.0,-496.0,-96.0
P2-01U-FIN-280,"INSTALL WINDOW TREATMENTS","2026-07-08 16:00","2026-07-24 16:00",-360.0,-456.0,-96.0
P2-EXT-01-30,"WATERPROOFING REQUIREMENTS 1ST FLOOR","2026-06-04 16:00","2026-07-02 16:00",-328.0,-424.0,-96.0
P2-EXT-02-30,"WATERPROOFING REQUIREMENTS 2ND FLOOR","2026-06-10 16:00","2026-07-02 16:00",-328.0,-424.0,-96.0
P2-EXT-03-30,"WATERPROOFING REQUIREMENTS 3RD FLOOR","2026-06-16 16:00","2026-07-02 16:00",-328.0,-424.0,-96.0
